TrNumber,aiphhorr,astracul,astrcham,astrgyna,astrjaua,astrulei,attabuty,attainsi,attamari,attamicr,attaphal,bactacan,bactacans,bactbala,bactbifi,bactconc,bactcoro,bacteleg,bacthalm,bacthirt,bactkill,bactmacr,bactmara,bactolig,bactsimp,bactspha,bactsyag,bacttefe,champauc,champinn,desmgiga,desmmiti,desmpoly,euteprec,geonatro,geonbron,geoncama,geondeve,geonlept,geonmacr,geonmaxi,geonocci,geonolde,geonolig,geonstri,hyoseleg,iriadelt,iriaseti,iriasten,lepitenu,maurarma,maurflex,oenobaca,oenobali,oenobata,oenomino,pholsyna,phytmacr,presschu,socrexor,wendgrac,wettaugu
738,1,16,0,129,1,31,0,0,38,18,0,0,0,0,251,5,0,0,0,0,0,0,20,39,5,0,0,0,0,0,5,1,2,40,0,0,0,148,0,42,18,0,0,0,17,11,21,0,0,0,0,0,0,0,65,10,0,0,0,212,0,0
739,9,10,0,164,0,0,0,0,4,37,0,0,0,0,34,0,0,7,0,0,23,0,69,7,10,0,0,0,4,0,0,0,0,12,0,48,0,303,0,185,50,0,0,11,535,3,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
740,0,12,0,125,0,0,0,0,34,0,0,0,0,0,87,0,0,15,0,14,0,0,27,0,7,0,0,0,9,1,2,1,2,34,0,0,0,22,25,142,103,39,0,0,101,2,7,0,0,0,0,0,0,4,10,9,0,0,0,72,0,0
741,2,18,0,73,0,12,0,1,16,69,0,32,0,0,183,0,0,18,0,20,3,0,12,0,22,0,0,0,2,0,0,7,3,29,0,0,0,39,10,52,0,7,0,0,87,0,8,0,0,0,0,0,4,0,57,5,0,0,0,21,0,0
742,2,3,0,117,0,14,0,1,3,1,0,5,0,0,72,0,0,11,0,11,0,0,34,7,18,0,0,0,0,0,6,0,0,25,0,0,17,17,1,265,54,32,0,60,217,1,13,7,0,0,0,0,0,1,30,4,0,0,0,157,0,0
743,0,0,0,37,0,74,0,91,1,65,0,1,0,0,24,0,1,0,17,1,8,0,32,2,10,0,0,0,0,0,2,2,0,76,0,0,0,49,1,17,4,0,0,2,41,4,2,0,13,205,0,0,0,0,251,0,0,0,0,60,0,0
744,0,0,0,90,0,6,0,0,4,5,0,0,0,0,131,0,0,18,0,2,7,0,41,8,4,0,0,0,1,0,5,0,1,4,0,0,4,1,0,12,5,6,93,15,48,1,1,27,0,1143,0,0,0,0,19,4,0,0,0,33,0,0
745,0,0,0,15,0,281,0,129,69,0,0,0,0,0,130,33,0,0,8,1,0,0,80,0,3,0,0,0,0,0,0,1,0,56,0,0,10,107,0,23,9,1,0,0,9,0,2,11,0,0,0,0,0,0,141,20,0,0,0,60,0,0
746,0,30,0,22,0,2,0,0,6,0,0,10,0,0,0,0,0,0,0,6,0,0,49,29,2,0,0,0,0,0,0,0,3,31,1,148,0,0,1,415,98,0,0,0,290,0,0,0,0,0,0,0,45,0,8,0,0,0,0,23,0,0
747,0,2,0,64,0,78,0,14,18,85,0,0,0,0,0,0,0,0,0,22,16,1,31,7,0,0,0,0,60,0,0,7,1,94,53,0,5,107,0,0,12,0,0,0,281,0,52,0,0,0,0,0,2,0,147,6,0,0,0,101,0,0
748,0,1,0,76,0,0,0,0,55,77,0,0,0,0,0,13,0,0,0,3,3,0,67,0,0,0,0,0,6,0,1,5,0,45,9,0,3,69,0,9,11,0,0,0,252,4,27,0,0,0,0,0,0,0,29,2,0,0,0,31,0,0
749,0,0,0,52,0,95,0,18,4,143,0,0,0,0,0,39,0,0,0,3,10,0,63,0,5,0,0,0,30,0,3,4,2,34,15,0,2,31,0,39,18,0,0,0,99,0,5,8,0,0,0,0,0,0,104,2,0,0,0,66,0,0
750,0,0,0,8,0,10,23,26,0,1,0,0,0,0,0,28,3,0,3,18,0,0,6,2,15,0,0,0,16,0,1,6,1,126,0,141,14,89,0,12,2,0,0,0,239,71,18,0,0,0,0,0,0,0,2,7,0,0,0,59,0,0
751,0,1,19,31,0,0,11,0,0,0,0,4,0,0,46,0,1,0,10,2,34,0,11,0,9,0,0,0,2,0,1,0,2,34,0,0,10,72,0,14,28,9,0,0,89,12,16,17,0,0,0,0,0,0,90,9,0,0,0,6,0,0
