"","TrNumber","Latitude","Longitude","Band2_median15","Band3_median15","Band4_median15","Band5_median15","Band7_median15","HAND_50","logCEC"
"1",738,-4.797592444,-66.87104016,394,250,3140,1349,484,23.2653942108154,2.44799995422363
"2",739,-4.902847599,-66.94802346,403,267,3085,1339,490,16.6617279052734,2.35361552238464
"3",740,-5.046526676,-67.13601681,401,269,3041,1337,491,22.3807144165039,2.52957034111023
"4",741,-5.029465,-67.141469,391,256,2977,1285,467,24.3298683166504,2.4849066734314
"5",742,-5.082486809,-67.227359,399,259,2982,1301,471,26.6467990875244,2.52957081794739
"6",743,-5.391843117,-67.20932613,411,267,2953,1303,472,18.141695022583,2.63905739784241
"7",744,-5.406446811,-67.20006408,401,260,2941,1313,485,24.3143730163574,2.48294234275818
"8",745,-5.490840391,-67.40915306,412,266,3012,1327,480,4.24505949020386,2.67467355728149
"9",746,-5.570259531,-67.77993888,400,260,3084,1334,481,6.68343067169189,2.4702935218811
"10",747,-5.862694517,-67.86298134,419,269,3003,1287,471,0.500033259391785,2.4480094909668
"11",748,-5.888062376,-67.86771042,409,266,3044,1312,480,11.5792465209961,2.4849066734314
"12",749,-5.878746002,-67.87335383,407,262,2949,1253,454,15.7052869796753,2.57201528549194
"13",750,-6.056880197,-67.90962254,407,251,3037,1333,487,9.35452175140381,2.4849066734314
"14",751,-6.234800769,-68.14826559,398,256,3052,1289,466,41.715015411377,2.47225475311279
"15",752,-6.231994996,-68.16916032,395,252,3015,1257,455,13.5566606521606,2.30258512496948
"16",753,-6.278439407,-68.221044,391,258,3017,1276,470,41.2972259521484,2.30020236968994
"17",754,-6.407419638,-68.27526445,396,256,3009,1276,456,58.0359687805176,2.39789533615112
"18",755,-6.382633955,-68.26577705,403,265,2988,1262,463,51.0187225341797,2.34299683570862
"19",756,-6.390835484,-68.28022666,397,261,2958,1253,450,23.0959148406982,2.2560248374939
"20",757,-6.425477113,-68.39004755,407,258,3175,1329,481,59.8158950805664,2.35038661956787
"21",758,-6.550765892,-68.41936906,397,264,3048,1320,490,9.50430965423584,2.30644965171814
"22",759,-6.432766911,-68.53584669,411,272,3053,1298,476,57.7919692993164,2.25602698326111
"23",760,-6.442267407,-68.6472695,402,260,3150,1341,478,39.4227104187012,2.30258512496948
"24",761,-6.453890029,-68.75163147,406,255,3160,1337,495,31.0402183532715,2.43675374984741
"25",762,-6.445081015,-68.74654745,397,259,2975,1291,469,17.800365447998,2.19722461700439
"26",763,-6.447339201,-68.82156098,394,246,3053,1365,507,13.5385713577271,2.43478465080261
"27",764,-6.59243988,-68.88018908,400,261,3016,1297,475,15.5490112304688,2.48815226554871
"28",765,-6.637338802,-69.14335697,380,251,3006,1326,485,3.1475841999054,2.20365452766418
"29",766,-6.511997718,-69.44909567,391,251,3052,1371,512,24.6906661987305,2.5674614906311
"30",767,-6.509196402,-69.60035116,390,251,3040,1354,510,19.7527828216553,2.4849066734314
"31",768,-6.512924586,-69.57743078,400,263,3049,1300,490,31.2364711761475,2.5631377696991
"32",769,-6.513921335,-69.64338439,399,264,3016,1350,510,11.0062141418457,2.43418073654175
"33",770,-6.537811753,-69.69834831,402,261,3089,1336,497,12.7542562484741,2.39789533615112
"34",771,-6.546788755,-69.76905757,395,255,3091,1312,488,33.8710746765137,2.39618802070618
"35",772,-6.776825027,-70.11876959,413,278,3097,1331,491,3.03804326057434,2.30258512496948
"36",773,-6.786691272,-70.17523393,405,267,3062,1324,487,11.3694839477539,2.47751092910767
"37",774,-6.813802862,-70.24544833,398,265,3056,1322,486,18.2308902740479,2.30842185020447
"38",775,-6.690974707,-70.35315454,400,266,2943,1296,476,53.3308219909668,2.33870816230774
"39",776,-6.658723213,-70.30066414,413,279,3038,1403,541,4.50114440917969,2.43830323219299
"40",777,-6.675079308,-70.30835337,397,267,3060,1294,469,2.01845216751099,2.29238557815552
